job_id,skill
66,Scala
66,Spark
67,Data Modeling
67,ETL
67,Machine Learning
67,NoSQL
67,Python
67,SQL
68,AWS
68,MongoDB
68,Power BI
68,Redshift
68,SQL
68,Spark
68,Tableau
69,AWS
69,Java
69,Python
69,SQL
69,Scala
70,AWS
70,Azure
70,ELT
70,ETL
70,Kafka
70,Machine Learning
70,NoSQL
70,Python
70,R
70,SQL
71,Data Modeling
71,Data Warehouse
71,ETL
71,MySQL
71,Python
71,Redshift
71,SQL
71,Snowflake
71,Spark
72,AWS
72,Airflow
72,BigQuery
72,Data Warehouse
72,ELT
72,ETL
72,Git
72,Kubernetes
72,Looker
72,Python
72,SQL
72,dbt
73,AWS
73,ETL
73,Hadoop
73,PostgreSQL
73,Python
73,R
73,Redshift
73,SQL
73,Scala
73,Spark
74,AWS
74,Hadoop
74,Java
74,Kafka
74,Linux
74,NumPy
74,Pandas
74,PostgreSQL
74,Python
74,Redshift
74,SQL
74,SQL Server
74,Spark
75,Azure
75,BigQuery
75,ETL
75,GCP
75,Linux
75,Python
75,R
75,SQL
76,Linux
76,Python
76,SQL
77,Data Modeling
77,Data Warehouse
77,ETL
77,Java
77,Python
77,SQL
78,Data Warehouse
78,Python
79,AWS
79,Looker
79,PostgreSQL
79,Python
80,SQL
80,Tableau
81,AWS
81,Airflow
81,Data Warehouse
81,ETL
81,Java
81,Looker
81,Python
81,Redshift
81,SQL
81,Snowflake
82,Azure
82,PostgreSQL
82,Python
82,SQL
82,Scala
83,AWS
83,Airflow
83,Kafka
83,NumPy
83,Pandas
83,Python
83,Redshift
83,Snowflake
83,Spark
84,AWS
84,Azure
84,Data Warehouse
84,ETL
84,Machine Learning
84,Python
84,SQL
84,Spark
85,AWS
85,Airflow
85,Azure
85,Docker
85,GCP
85,Java
85,Kafka
85,Kubernetes
85,Machine Learning
85,NoSQL
85,Python
86,ETL
86,Java
86,NoSQL
86,Python
86,SQL
86,Scala
87,ETL
87,Hadoop
87,Java
87,Kafka
87,NoSQL
87,Python
87,Scala
87,Spark
88,BigQuery
88,Docker
88,Java
88,Linux
88,Machine Learning
88,Scala
88,Tableau
89,ETL
89,Hadoop
89,Hive
89,Java
89,Machine Learning
89,MySQL
89,NoSQL
89,Python
91,Airflow
91,BigQuery
91,Data Warehouse
91,ELT
91,ETL
91,GCP
91,Git
91,Python
91,SQL
92,Airflow
92,Azure
92,Data Lake
92,ETL
92,Hadoop
92,Machine Learning
92,Python
92,SQL
92,Spark
93,AWS
93,Git
93,Java
93,Linux
93,Oracle
93,Python
93,R
93,SQL
93,SQL Server
93,Scala
93,Spark
94,Azure
94,Kubernetes
94,Machine Learning
94,Power BI
94,SQL
95,AWS
95,Data Warehouse
95,ETL
95,Java
95,Python
95,R
95,Scala
95,Snowflake
96,Machine Learning
97,AWS
97,Data Modeling
97,ETL
97,MySQL
97,PostgreSQL
97,Python
97,Redshift
97,SQL
97,SQL Server
98,Data Modeling
98,ETL
98,Java
98,Python
99,Python
99,SQL
99,Tableau
100,AWS
100,Data Modeling
100,ETL
100,Oracle
100,SQL
101,AWS
101,Airflow
101,Azure
101,GCP
101,Hadoop
101,Java
101,Kafka
101,Linux
101,MySQL
101,NoSQL
101,NumPy
101,Pandas
101,Python
101,Redshift
101,SQL
101,SQL Server
101,Scala
101,Spark
102,AWS
102,Airflow
102,Data Modeling
102,ELT
102,ETL
102,Hadoop
102,Java
102,Kafka
102,NoSQL
102,NumPy
102,Pandas
102,Python
102,R
102,Redshift
102,Scala
102,Spark
103,Data Warehouse
103,ETL
103,Hadoop
103,SQL
103,SQL Server
103,Scala
103,Spark
103,Tableau
104,ETL
104,Python
104,R
104,SQL
104,Spark
105,AWS
105,Airflow
105,Azure
105,ETL
105,Linux
105,Python
105,R
105,SQL
105,Tableau
105,dbt
106,AWS
106,Data Warehouse
106,Hive
106,Machine Learning
106,Python
106,Redshift
106,SQL
106,Spark
107,Azure
107,Kubernetes
107,Machine Learning
107,Power BI
107,SQL
108,BigQuery
108,Redshift
108,SQL
109,Data Modeling
109,Data Warehouse
109,ETL
109,Java
109,Python
109,SQL
110,SQL
110,Tableau
112,AWS
112,Azure
112,Data Modeling
112,Data Warehouse
112,ELT
112,ETL
112,GCP
112,Hive
112,Java
112,Machine Learning
112,MySQL
112,Oracle
112,Python
112,Redshift
112,SQL
112,Scala
112,Spark
113,BigQuery
113,Docker
113,Java
113,Machine Learning
113,Python
113,Scala
114,Azure
114,Machine Learning
115,AWS
115,Hadoop
115,Hive
115,Looker
115,Machine Learning
115,Python
115,SQL
115,Spark
116,AWS
116,Docker
116,ETL
116,Git
116,Java
116,MongoDB
116,MySQL
116,Python
116,SQL
117,AWS
117,Airflow
117,Azure
117,Docker
117,Git
117,Hadoop
117,Kafka
117,Python
117,SQL
117,Snowflake
117,Spark
117,dbt
118,ETL
118,Linux
118,Oracle
118,SQL
118,Tableau
119,AWS
119,Hadoop
119,Java
119,Machine Learning
119,Python
119,Spark
120,Data Warehouse
120,ETL
120,Python
120,SQL
121,AWS
121,Docker
121,Java
121,Kafka
121,Kubernetes
121,NoSQL
121,Python
121,SQL
121,Scala
121,Spark
122,Airflow
122,BigQuery
122,Data Lake
122,Data Warehouse
122,Docker
122,ETL
122,GCP
122,Java
122,Kafka
122,MySQL
122,NoSQL
122,PostgreSQL
122,Python
122,SQL
122,Scala
122,Spark
123,AWS
123,Airflow
123,Data Modeling
123,Git
123,Python
123,SQL
123,Spark
124,Data Warehouse
124,Java
124,Python
125,Airflow
125,Git
125,Hadoop
125,Hive
125,Linux
125,Looker
125,Machine Learning
125,Python
125,SQL
125,Snowflake
125,Spark
126,ETL
126,Hadoop
126,Java
126,Kafka
126,Linux
126,MongoDB
126,MySQL
126,PostgreSQL
126,Python
126,SQL
126,Scala
126,Spark
127,Python
128,AWS
128,Java
128,Linux
128,Machine Learning
128,MongoDB
128,NoSQL
128,SQL
128,Scala
128,Spark
129,AWS
129,Data Modeling
129,ETL
129,Hive
129,Java
129,Python
129,R
129,Redshift
129,SQL
129,Spark
130,Airflow
130,BigQuery
130,ETL
130,GCP
130,Java
130,Kubernetes
130,Machine Learning
130,Python
130,SQL
130,Scala
130,Spark
131,AWS
131,Java
131,Linux
131,Python
131,R
131,SQL
132,Data Warehouse
132,ETL
132,MySQL
132,Oracle
132,PostgreSQL
132,Python
132,R
132,SQL
132,Tableau
133,Airflow
133,BigQuery
133,ETL
133,Kubernetes
133,Machine Learning
133,Python
133,Redshift
133,SQL
133,Snowflake
133,Tableau
134,AWS
134,Airflow
134,Data Warehouse
134,Kubernetes
134,Machine Learning
134,Python
134,Redshift
134,SQL
134,Snowflake
134,Spark
135,Data Modeling
135,ETL
135,Hadoop
135,Hive
135,Java
135,Kafka
135,Linux
135,Machine Learning
135,Python
135,SQL
135,Scala
135,Spark
135,Tableau
136,Airflow
136,ETL
136,Java
136,Kafka
136,Python
136,Scala
136,Spark
137,AWS
137,Data Warehouse
137,ETL
137,Java
137,Oracle
137,PostgreSQL
137,Python
137,Redshift
137,SQL
137,SQL Server
138,Python
138,SQL
139,Data Modeling
139,Hadoop
139,Java
139,Scala
139,Spark
140,Airflow
140,BigQuery
140,Data Lake
140,Data Warehouse
140,Docker
140,ETL
140,GCP
140,Java
140,Kafka
140,MySQL
140,NoSQL
140,PostgreSQL
140,Python
140,SQL
140,Scala
140,Spark
141,AWS
141,Airflow
141,BigQuery
141,Data Warehouse
141,ETL
141,Looker
141,Python
141,R
141,Redshift
141,SQL
141,Snowflake
141,Tableau
141,dbt
142,Docker
142,Python
142,Redshift
142,SQL
142,Snowflake
143,Airflow
143,BigQuery
143,Data Warehouse
143,ELT
143,ETL
143,GCP
143,Git
143,Python
143,SQL
144,ETL
144,Python
144,SQL
145,AWS
145,Docker
145,Java
145,Kafka
145,Kubernetes
145,NoSQL
145,Python
145,SQL
145,Scala
145,Spark
146,Machine Learning
146,Python
146,Redshift
146,SQL
146,Snowflake
148,AWS
148,Airflow
148,MySQL
148,Python
149,AWS
149,Airflow
149,ETL
149,Hadoop
149,Hive
149,Kubernetes
149,Machine Learning
149,MongoDB
149,Python
149,Redshift
149,Scala
149,Spark
150,BigQuery
150,Data Warehouse
150,ETL
150,GCP
151,Data Modeling
151,ETL
151,Git
151,Hadoop
151,Java
151,Linux
151,Oracle
151,Python
151,SQL
152,AWS
152,BigQuery
152,Data Warehouse
152,ETL
152,Java
152,Machine Learning
152,Pandas
152,Python
152,Redshift
152,SQL
152,Scala
152,Spark
153,AWS
153,Data Modeling
153,Python
154,AWS
154,Python
155,ETL
155,SQL
155,SQL Server
156,AWS
156,Docker
156,Java
156,NoSQL
156,Python
156,SQL
156,Scala
156,Spark
157,Airflow
157,BigQuery
157,ETL
157,MongoDB
157,NoSQL
157,Python
157,SQL
157,Scala
158,AWS
158,Python
158,Redshift
158,Spark
159,AWS
159,Airflow
